代码,名称,类型,调整天数,单阳日,现价
600272,开开实业,强势型(优先),1,2026-08-07,14.27
600929,雪天盐业,强势型(优先),1,2026-08-28,6.04
603313,梦百合,强势型(优先),1,2026-08-31,6.64
002871,伟隆股份,强势型(优先),1,2026-08-31,18.89
600127,金健米业,强势型(优先),2,2026-08-28,13.24
002427,尤夫股份,强势型(优先),2,2026-08-28,5.13
600714,金瑞矿业,强势型(优先),2,2026-08-28,18.72
000567,海德股份,强势型(优先),2,2026-08-28,7.09
600985,淮北矿业,强势型(优先),2,2026-08-06,16.86
600371,万向德农,中势型(稳健),4,2026-08-26,13.96
002471,中超控股,中势型(稳健),5,2026-08-03,5.89
